id,sentiment
"12311_10",0.8785251063769779
"8348_2",0.1381080310474082
"5828_4",0.561863898386486
"7186_2",0.5630763917316246
"12128_7",0.7610641374396498
"2913_8",0.6959951542863033
"4396_1",0.1885135260682241
"395_2",0.34497313702172977
"10616_1",0.029332235094615636
"9074_9",0.6145183364178397
"9252_3",0.621533716016525
"9896_9",0.6143165382468058
"574_4",0.40475731274270754
"11182_8",0.590343023390349
"11656_4",0.37263359323556505
"2322_4",0.5248005056064131
"8703_1",0.3882284536110304
"7483_1",0.2595176422535132
"6007_10",0.7179109392614207
"12424_4",0.2491169103645594
"4672_1",0.04907316928024026
"10841_3",0.2709333544382663
"8954_7",0.2997343702267091
"7392_1",0.40405330038920895
"10288_8",0.8392153601527002
"5343_4",0.1705087969416022
"4950_1",0.04920619337912556
"9257_4",0.481648145831508
"8689_3",0.1408555025646469
"4480_2",0.30109741036557475
"9286_10",0.6746705680375283
"12245_10",0.9064632526446565
"7529_7",0.6234519510021547
"4_4",0.4331996369374391
"5299_2",0.15707669613812686
"12077_8",0.5881535227953004
"10701_2",0.06906691150675646
"11579_1",0.08047056700982276
"10993_1",0.195996100416272
"8913_1",0.16436599405065294
"1350_3",0.21175525226317304
"3804_2",0.17748468688609143
"5025_3",0.39497862094672237
"5170_8",0.4461099625014519
"8225_8",0.9259073909224402
"6427_7",0.7583631420739531
"3165_3",0.4679863948517932
"7902_9",0.8793639112058692
"8208_3",0.11891461913464935
"3577_8",0.8780547363473287
"4865_1",0.16410437498446978
"9063_3",0.4709514511382361
"1106_1",0.31818477570980985
"1117_9",0.8662982205004116
"1050_4",0.6409730328477399
"10755_9",0.7005292744914197
"2729_8",0.5946139824583989
"10072_10",0.6944069809821066
"2904_7",0.8192383584331968
"4584_2",0.6435661531306476
"189_4",0.5063496457122999
"6302_4",0.33651406394038264
"8138_9",0.5354324733630093
"1262_1",0.2743897321068124
"2199_10",0.8441465451813916
"6551_7",0.6537668562566813
"8082_7",0.5414486943768381
"4897_8",0.8912611858044253
"7360_1",0.08705643955775658
"11012_10",0.772896002107252
"12046_1",0.5564388802454353
"2331_2",0.4413470035407818
"8961_9",0.7027210438486308
"751_7",0.48451769862378524
"9884_10",0.7073876101137784
"10016_8",0.6096451594430784
"8023_10",0.5662413523062588
"2628_1",0.08276659426115171
"5832_1",0.08336980394968142
"7302_1",0.09847552077139193
"4501_3",0.3209399072476466
"1121_7",0.38059632174042346
"8334_3",0.39618233738677583
"9789_10",0.3171575649063596
"4230_10",0.7115806114061415
"824_4",0.24550218684555591
"6803_9",0.8505698813796658
"3086_7",0.5939141902000356
"1135_8",0.6773634962421853
"10136_1",0.0610013535843898
"11129_3",0.1442063699287184
"2072_8",0.6733409885971559
"9501_7",0.8145090205947997
"319_10",0.6272056975512397
"1693_7",0.7705495068731372
"10886_1",0.054849310572160095
"9406_8",0.6267887497266776
"10376_10",0.24520279843597975
"9902_1",0.08991092771458316
"9938_8",0.4214040029835745
"7080_9",0.7826390853909714
"11944_8",0.5358072327609583
"5249_1",0.07478494724822393
"9599_2",0.3803322333643086
"9620_1",0.1539978794600424
"11244_1",0.2738870174455641
"6841_10",0.8498415292541598
"10050_4",0.7530656207482711
"10512_9",0.6977901013794822
"11327_3",0.11203810246718826
"10681_8",0.5707362349735261
"808_3",0.46019298627558347
"546_7",0.879115714019827
"10765_1",0.07820198621772909
"7189_9",0.5177333527726505
"6005_9",0.7724744643252129
"11915_9",0.6048782650382565
"5740_10",0.49717327862885546
"7097_10",0.3171885397725031
"9573_10",0.5746188279590968
"5084_4",0.5688794528832002
"12332_7",0.39257507777760864
"8154_1",0.05789395893356494
"5610_1",0.3067968110765477
"5323_9",0.6190911844178739
"11034_8",0.5861756096944061
"3977_2",0.2892344188058803
"12380_7",0.2875698253993671
"1737_8",0.6106936907965886
"6030_9",0.5406645852595069
"5918_7",0.840991566546975
"7061_9",0.6012883790068815
"266_8",0.7071244129080192
"1375_10",0.6578908263372847
"8648_3",0.1554710257698628
"10146_10",0.7886671232211115
"4578_10",0.5521875770870568
"4685_8",0.615366954334472
"11843_9",0.6407530082507366
"5467_10",0.8192328210871834
"10140_10",0.6687481845240142
"7721_8",0.8043847015450328
"11208_10",0.30816246285498194
"1063_10",0.6798653999076333
"8260_10",0.5000698179157419
"3182_9",0.7387406486903325
"2797_8",0.8003081117487231
"7613_2",0.7977202483528855
"11624_4",0.26451547013845206
"4847_10",0.9331445182960922
"10684_7",0.5781239057947946
"6312_1",0.3699850796367755
"4925_3",0.1990603921154894
"4125_1",0.03788638601645741
"2394_10",0.8899413216688286
"12105_10",0.6093690093905005
"7812_1",0.11329399274659589
"1061_8",0.8134458411620314
"9343_3",0.5599349881786811
"7696_10",0.8878520631681621
"9355_10",0.9608866732039277
"782_9",0.8639272547595798
"9882_10",0.9137990567819912
"10642_10",0.6790604005820977
"7410_2",0.17180194068315482
"9591_4",0.312186121211188
"11902_3",0.4491513283716983
"3495_7",0.2171125221115203
"6733_1",0.18041139487752578
"4552_1",0.027065515245745544
"6722_1",0.24591490160402593
"188_10",0.7602071057274292
"5099_10",0.8777150112051089
"10313_1",0.26351385267740574
"6756_9",0.7416801720373443
"6622_2",0.12223497725197263
"4807_10",0.8653530547575163
